I]	0.00000000	0.00000000	0.00000000	0.00086347	0.01700185	0.01897471	0.02604938	0.03558243	0.05349920	0.07201792	0.11331500	0.15789474	0.19075569	0.21797005	0.26666667	0.26851852	0.31707317	0.30769231	0.00000000	0.50000000
t]	0.00000000	0.00000000	0.00028425	0.00829452	0.01520468	0.02110119	0.03197151	0.04152175	0.05327024	0.05622348	0.06736057	0.06036069	0.06749817	0.05324459	0.05098039	0.06481481	0.04878049	0.07692308	0.00000000	0.00000000
lI	0.00000000	0.00537038	0.00586594	0.01677220	0.01568963	0.02051232	0.02200792	0.02407833	0.02907731	0.04408298	0.05695208	0.07140228	0.06823184	0.07653910	0.06666667	0.04629630	0.00000000	0.00000000	0.00000000	0.00000000
[s	0.11801916	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
R]	0.00000000	0.00000000	0.00041346	0.00468366	0.00542005	0.02581215	0.03017086	0.02637915	0.03625124	0.03960396	0.04143755	0.02465955	0.02567865	0.02662230	0.01176471	0.00925926	0.04878049	0.00000000	0.00000000	0.00000000
[k	0.09049599	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
s]	0.00000000	0.00000000	0.00028425	0.00416034	0.00724576	0.01148297	0.02340843	0.03477982	0.04090666	0.04761905	0.04811469	0.05520795	0.06382979	0.06821963	0.04313725	0.07407407	0.04878049	0.00000000	0.00000000	0.00000000
@n	0.00000000	0.00105858	0.01118921	0.00348004	0.01854229	0.01714267	0.02152775	0.02423886	0.02487980	0.01991985	0.01924588	0.01619433	0.00733676	0.00166389	0.00784314	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
tI	0.00000000	0.00312411	0.00307509	0.01159140	0.01583226	0.01544149	0.01776640	0.02177752	0.02663512	0.02451674	0.02906520	0.02171513	0.02714600	0.03826955	0.05098039	0.03703704	0.07317073	0.00000000	0.40000000	0.00000000
st	0.00000000	0.01869304	0.00258411	0.02208383	0.01235202	0.01220270	0.01156416	0.01423297	0.00915821	0.01178689	0.01021210	0.01067354	0.01247249	0.01830283	0.02352941	0.01851852	0.02439024	0.00000000	0.00000000	0.00000000
